area,area_unit,perimeter,perimeter_unit,n_central_vessel,n_portal_vessel,central_vessel_cross_section,central_vessel_cross_section_unit,portal_vessel_cross_section,portal_vessel_cross_section_unit,compactness,compactness_unit,area_without_vessels,area_without_vessels_unit,minimum_bounding_radius,minimum_bounding_radius_unit,species,subject,roi
126913.30318892784,µm$^2$,51.31370849898476,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.7158702551749897,-,126913.30318892784,µm$^$2,226.92842270321512,µm,mouse,MNT-021,0
358741.6036807027,µm$^2$,95.45584412271567,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.5847505993734802,-,358741.6036807027,µm$^$2,437.52946544812454,µm,mouse,MNT-021,0
169217.7375852371,µm$^2$,72.48528137423857,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.47834385751379566,-,169217.7375852371,µm$^$2,383.9673864680929,µm,mouse,MNT-021,0
549957.6471520206,µm$^2$,113.94112549695423,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6291616034183607,-,549957.6471520206,µm$^$2,548.274607297692,µm,mouse,MNT-021,0
552072.8688718361,µm$^2$,115.35533905932732,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6161904738816959,-,552072.8688718361,µm$^$2,580.660263956976,µm,mouse,MNT-021,0
194177.35387905958,µm$^2$,60.38477631085022,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.7909292379393273,-,194177.35387905958,µm$^$2,281.0488057068012,µm,mouse,MNT-021,0
186139.51134376082,µm$^2$,66.14213562373094,µm,0,1,0.0,µm$^$2,423.0443439630928,µm$^$2,0.6319403958617097,-,185716.46699979773,µm$^$2,331.6497089255531,µm,mouse,MNT-021,0
143412.03260348845,µm$^2$,54.72792206135786,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.7111507111919614,-,143412.03260348845,µm$^$2,279.7556141227056,µm,mouse,MNT-021,0
296554.08511812804,µm$^2$,83.2132034355964,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6360824362427422,-,296554.08511812804,µm$^$2,429.7195086796619,µm,mouse,MNT-021,0
350703.7611454039,µm$^2$,97.2132034355964,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.5511678663709263,-,350703.7611454039,µm$^$2,460.38109147651005,µm,mouse,MNT-021,0
1604184.1523080477,µm$^2$,282.50966799187813,µm,1,1,167102.51586542165,µm$^$2,2115.221719815464,µm$^$2,0.2985255914935257,-,1602280.452760214,µm$^$2,897.3479770126208,µm,mouse,MNT-021,0
195446.48691094888,µm$^2$,67.79898987322333,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6315029694854322,-,195446.48691094888,µm$^$2,374.6191757654742,µm,mouse,MNT-021,0
249596.16293822473,µm$^2$,78.48528137423855,µm,0,1,0.0,µm$^$2,423.0443439630928,µm$^$2,0.6018045138258411,-,249596.16293822473,µm$^$2,413.41252395287864,µm,mouse,MNT-021,0
160756.85070597526,µm$^2$,61.31370849898476,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6351090413952435,-,160756.85070597526,µm$^$2,309.21779173570314,µm,mouse,MNT-021,0
130720.70228459567,µm$^2$,56.38477631085023,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6106813037404601,-,130720.70228459567,µm$^$2,314.6305396609867,µm,mouse,MNT-021,0
204753.4624781369,µm$^2$,66.97056274847712,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6780431509252753,-,204753.4624781369,µm$^$2,318.0013605682519,µm,mouse,MNT-021,0
233520.47786762723,µm$^2$,71.7989898732233,µm,0,0,0.0,µm$^$2,0.0,µm$^$2,0.6727942599206308,-,233520.47786762723,µm$^$2,364.091894223305,µm,mouse,MNT-021,0
